Computing...


Start DBSCAN
Cluster 0:

        ID: 66756251,  X: 116.276952,  Y: 39.928065

        ID: 66838559,  X: 116.276952,  Y: 39.928065

        ID: 63308216,  X: 116.276952,  Y: 39.928065

        ID: 64340805,  X: 116.277154,  Y: 39.928175

        ID: 64640673,  X: 116.277108,  Y: 39.927887

        ID: 64961747,  X: 116.276952,  Y: 39.928065

        ID: 65235615,  X: 116.276952,  Y: 39.928065

        ID: 65312006,  X: 116.276952,  Y: 39.928065

        ID: 65352375,  X: 116.276952,  Y: 39.928065

        ID: 65561850,  X: 116.277601,  Y: 39.928426

        ID: 66035138,  X: 116.27718999981879,  Y: 39.928261292242546

        ID: 66523223,  X: 116.276952,  Y: 39.928065

        ID: 66650469,  X: 116.277537,  Y: 39.928183

        ID: 66688830,  X: 116.27756550908089,  Y: 39.92881972429676

        ID: 66839245,  X: 116.276952,  Y: 39.928065

        ID: 66858984,  X: 116.276952,  Y: 39.928065

        ID: 66860024,  X: 116.276952,  Y: 39.928065

        ID: 66861376,  X: 116.276952,  Y: 39.928065

        ID: 67268104,  X: 116.277601,  Y: 39.928426

        ID: 67363897,  X: 116.276955,  Y: 39.928066

        ID: 67588311,  X: 116.276952,  Y: 39.928065

        ID: 67632062,  X: 116.277601,  Y: 39.928426

        ID: 67664620,  X: 116.277601,  Y: 39.928426

        ID: 67708427,  X: 116.276218,  Y: 39.928065

        ID: 67708466,  X: 116.276218,  Y: 39.928065

        ID: 67708559,  X: 116.276218,  Y: 39.928065

        ID: 67708732,  X: 116.276218,  Y: 39.928065

        ID: 67794759,  X: 116.276952,  Y: 39.928065

        ID: 68174929,  X: 116.27767145633696,  Y: 39.928736422566715

        ID: 68249813,  X: 116.276952,  Y: 39.928065

        ID: 68903012,  X: 116.276952,  Y: 39.928065

        ID: 68883298,  X: 116.277559,  Y: 39.928191

        ID: 69116626,  X: 116.277505,  Y: 39.928887

        ID: 69254594,  X: 116.276952,  Y: 39.928065

        ID: 70175676,  X: 116.277601,  Y: 39.928426

        ID: 70200756,  X: 116.277645,  Y: 39.928825

        ID: 70201286,  X: 116.277645,  Y: 39.928825

        ID: 70408550,  X: 116.27765938639642,  Y: 39.92888142921664

        ID: 70353653,  X: 116.277566,  Y: 39.928392

        ID: 70567372,  X: 116.27741262316701,  Y: 39.92865414915359
